2019-02-20 09:27:55.973 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/generate-doc-nr' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.631 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 3 of 11 in additional filter chain; firing Filter: 'HeaderWriterFilter'
2019-02-20 09:27:56.632 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 4 of 11 in additional filter chain; firing Filter: 'LogoutFilter'
2019-02-20 09:27:56.632 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', GET]
2019-02-20 09:27:56.632 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/logout'
2019-02-20 09:27:56.633 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', POST]
2019-02-20 09:27:56.634 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'POST /logout
2019-02-20 09:27:56.634 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', PUT]
2019-02-20 09:27:56.634 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'PUT /logout
2019-02-20 09:27:56.634 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', DELETE]
2019-02-20 09:27:56.635 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'DELETE /logout
2019-02-20 09:27:56.635 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.web.util.matcher.OrRequestMatcher  : No matches found
2019-02-20 09:27:56.635 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 5 of 11 in additional filter chain; firing Filter: 'JWTFilter'
2019-02-20 09:27:56.635 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 6 of 11 in additional filter chain; firing Filter: 'RequestCacheAwareFilter'
2019-02-20 09:27:56.636 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 7 of 11 in additional filter chain; firing Filter: 'SecurityContextHolderAwareRequestFilter'
2019-02-20 09:27:56.636 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 8 of 11 in additional filter chain; firing Filter: 'AnonymousAuthenticationFilter'
2019-02-20 09:27:56.636 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Populated SecurityContextHolder with anonymous token: 'org.springframework.security.authentication.AnonymousAuthenticationToken@eaf7a233: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS'
2019-02-20 09:27:56.636 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 9 of 11 in additional filter chain; firing Filter: 'SessionManagementFilter'
2019-02-20 09:27:56.637 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 10 of 11 in additional filter chain; firing Filter: 'ExceptionTranslationFilter'
2019-02-20 09:27:56.637 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 11 of 11 in additional filter chain; firing Filter: 'FilterSecurityInterceptor'
2019-02-20 09:27:56.638 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/'
2019-02-20 09:27:56.638 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.678 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'POST /api/authenticate
2019-02-20 09:27:56.679 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/api/reset-password'
2019-02-20 09:27:56.679 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/api/**'
2019-02-20 09:27:56.679 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.a.i.FilterSecurityInterceptor    : Secure object: FilterInvocation: URL: /api/administration/all-doc-types; Attributes: [permitAll]
2019-02-20 09:27:56.680 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.a.i.FilterSecurityInterceptor    : Previously Authenticated: org.springframework.security.authentication.AnonymousAuthenticationToken@eaf7a233: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS
2019-02-20 09:27:56.680 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.access.vote.AffirmativeBased       : Voter: org.springframework.security.web.access.expression.WebExpressionVoter@3922b512, returned: 1
2019-02-20 09:27:56.680 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.a.i.FilterSecurityInterceptor    : Authorization successful
2019-02-20 09:27:56.682 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.a.i.FilterSecurityInterceptor    : RunAsManager did not change Authentication object
2019-02-20 09:27:56.682 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types reached end of additional filter chain; proceeding with original chain
2019-02-20 09:27:56.686 DEBUG 8252 --- [http-nio-8443-exec-9] c.b.a.c.rest.AdministrationController    : Retrieve all doc types
2019-02-20 09:27:56.709 DEBUG 8252 --- [http-nio-8443-exec-1] org.hibernate.SQL                        : select registrati0_.id as id1_155_, registrati0_.available_doc_types as availabl2_155_, registrati0_.code as code3_155_, registrati0_.description as descript4_155_, registrati0_.navigation_url as navigati5_155_, registrati0_.output_doc_types as output_d6_155_, registrati0_.request_type_id as request_7_155_ from registration_request_steps registrati0_ where registrati0_.request_type_id=? and registrati0_.code=?
2019-02-20 09:27:56.714 DEBUG 8252 --- [http-nio-8443-exec-9] org.hibernate.SQL                        : select nmdocument0_.id as id1_97_, nmdocument0_.category as category2_97_, nmdocument0_.description as descript3_97_, nmdocument0_.need_date as need_dat4_97_, nmdocument0_.need_doc_nr as need_doc5_97_ from nm_document_types nmdocument0_
2019-02-20 09:27:56.733 DEBUG 8252 --- [http-nio-8443-exec-9] o.s.s.w.a.ExceptionTranslationFilter     : Chain processed normally
2019-02-20 09:27:56.735 DEBUG 8252 --- [http-nio-8443-exec-9] s.s.w.c.SecurityContextPersistenceFilter : SecurityContextHolder now cleared, as request processing completed
2019-02-20 09:27:56.755 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-id-and-code' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.755 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-id-and-code'; against '/app/**/*.{js,html}'
2019-02-20 09:27:56.756 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-id-and-code'; against '/api/authenticate'
2019-02-20 09:27:56.756 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 1 of 11 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2019-02-20 09:27:56.757 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 2 of 11 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
2019-02-20 09:27:56.758 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 3 of 11 in additional filter chain; firing Filter: 'HeaderWriterFilter'
2019-02-20 09:27:56.758 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 4 of 11 in additional filter chain; firing Filter: 'LogoutFilter'
2019-02-20 09:27:56.759 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', GET]
2019-02-20 09:27:56.760 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-id-and-code'; against '/logout'
2019-02-20 09:27:56.760 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', POST]
2019-02-20 09:27:56.761 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-id-and-code' doesn't match 'POST /logout
2019-02-20 09:27:56.761 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', PUT]
2019-02-20 09:27:56.761 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-id-and-code' doesn't match 'PUT /logout
2019-02-20 09:27:56.761 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', DELETE]
2019-02-20 09:27:56.761 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-id-and-code' doesn't match 'DELETE /logout
2019-02-20 09:27:56.761 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.web.util.matcher.OrRequestMatcher  : No matches found
2019-02-20 09:27:56.761 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 5 of 11 in additional filter chain; firing Filter: 'JWTFilter'
2019-02-20 09:27:56.761 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 6 of 11 in additional filter chain; firing Filter: 'RequestCacheAwareFilter'
2019-02-20 09:27:56.762 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 7 of 11 in additional filter chain; firing Filter: 'SecurityContextHolderAwareRequestFilter'
2019-02-20 09:27:56.762 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 8 of 11 in additional filter chain; firing Filter: 'AnonymousAuthenticationFilter'
2019-02-20 09:27:56.762 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Populated SecurityContextHolder with anonymous token: 'org.springframework.security.authentication.AnonymousAuthenticationToken@eaf7a233: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS'
2019-02-20 09:27:56.762 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 9 of 11 in additional filter chain; firing Filter: 'SessionManagementFilter'
2019-02-20 09:27:56.763 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 10 of 11 in additional filter chain; firing Filter: 'ExceptionTranslationFilter'
2019-02-20 09:27:56.763 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 11 of 11 in additional filter chain; firing Filter: 'FilterSecurityInterceptor'
2019-02-20 09:27:56.763 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-id-and-code'; against '/'
2019-02-20 09:27:56.763 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-id-and-code' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.763 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-id-and-code' doesn't match 'POST /api/authenticate
2019-02-20 09:27:56.764 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.a.ExceptionTranslationFilter     : Chain processed normally
2019-02-20 09:27:56.764 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-id-and-code'; against '/api/reset-password'
2019-02-20 09:27:56.764 DEBUG 8252 --- [http-nio-8443-exec-1] s.s.w.c.SecurityContextPersistenceFilter : SecurityContextHolder now cleared, as request processing completed
2019-02-20 09:27:56.764 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-id-and-code'; against '/api/**'
2019-02-20 09:27:56.765 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.a.i.FilterSecurityInterceptor    : Secure object: FilterInvocation: URL: /api/tasks/request-step-by-id-and-code?id=3&code=R; Attributes: [permitAll]
2019-02-20 09:27:56.766 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.a.i.FilterSecurityInterceptor    : Previously Authenticated: org.springframework.security.authentication.AnonymousAuthenticationToken@eaf7a233: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS
2019-02-20 09:27:56.767 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.access.vote.AffirmativeBased       : Voter: org.springframework.security.web.access.expression.WebExpressionVoter@3922b512, returned: 1
2019-02-20 09:27:56.767 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.a.i.FilterSecurityInterceptor    : Authorization successful
2019-02-20 09:27:56.767 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.a.i.FilterSecurityInterceptor    : RunAsManager did not change Authentication object
2019-02-20 09:27:56.768 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R reached end of additional filter chain; proceeding with original chain
2019-02-20 09:27:56.770 DEBUG 8252 --- [http-nio-8443-exec-6] c.b.a.controller.rest.TasksController    : Get process step by id and code
2019-02-20 09:27:56.772 DEBUG 8252 --- [http-nio-8443-exec-6] org.hibernate.SQL                        : select registrati0_.id as id1_155_, registrati0_.available_doc_types as availabl2_155_, registrati0_.code as code3_155_, registrati0_.description as descript4_155_, registrati0_.navigation_url as navigati5_155_, registrati0_.output_doc_types as output_d6_155_, registrati0_.request_type_id as request_7_155_ from registration_request_steps registrati0_ where registrati0_.request_type_id=? and registrati0_.code=?
2019-02-20 09:27:56.776 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.776 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/app/**/*.{js,html}'
2019-02-20 09:27:56.776 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/api/authenticate'
2019-02-20 09:27:56.776 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 1 of 11 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2019-02-20 09:27:56.777 DEBUG 8252 --- [http-nio-8443-exec-6] o.s.s.w.a.ExceptionTranslationFilter     : Chain processed normally
2019-02-20 09:27:56.777 DEBUG 8252 --- [http-nio-8443-exec-6] s.s.w.c.SecurityContextPersistenceFilter : SecurityContextHolder now cleared, as request processing completed
2019-02-20 09:27:56.777 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 2 of 11 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
2019-02-20 09:27:56.780 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 3 of 11 in additional filter chain; firing Filter: 'HeaderWriterFilter'
2019-02-20 09:27:56.780 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 4 of 11 in additional filter chain; firing Filter: 'LogoutFilter'
2019-02-20 09:27:56.781 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', GET]
2019-02-20 09:27:56.781 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/logout'
2019-02-20 09:27:56.781 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', POST]
2019-02-20 09:27:56.782 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'POST /logout
2019-02-20 09:27:56.782 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', PUT]
2019-02-20 09:27:56.782 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'PUT /logout
2019-02-20 09:27:56.782 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', DELETE]
2019-02-20 09:27:56.783 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'DELETE /logout
2019-02-20 09:27:56.783 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.web.util.matcher.OrRequestMatcher  : No matches found
2019-02-20 09:27:56.783 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 5 of 11 in additional filter chain; firing Filter: 'JWTFilter'
2019-02-20 09:27:56.783 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 6 of 11 in additional filter chain; firing Filter: 'RequestCacheAwareFilter'
2019-02-20 09:27:56.784 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 7 of 11 in additional filter chain; firing Filter: 'SecurityContextHolderAwareRequestFilter'
2019-02-20 09:27:56.784 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 8 of 11 in additional filter chain; firing Filter: 'AnonymousAuthenticationFilter'
2019-02-20 09:27:56.784 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.a.AnonymousAuthenticationFilter  : Populated SecurityContextHolder with anonymous token: 'org.springframework.security.authentication.AnonymousAuthenticationToken@eaf7a233: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS'
2019-02-20 09:27:56.785 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 9 of 11 in additional filter chain; firing Filter: 'SessionManagementFilter'
2019-02-20 09:27:56.785 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 10 of 11 in additional filter chain; firing Filter: 'ExceptionTranslationFilter'
2019-02-20 09:27:56.790 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 11 of 11 in additional filter chain; firing Filter: 'FilterSecurityInterceptor'
2019-02-20 09:27:56.791 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/'
2019-02-20 09:27:56.799 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.800 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'POST /api/authenticate
2019-02-20 09:27:56.801 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/api/reset-password'
2019-02-20 09:27:56.801 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/api/**'
2019-02-20 09:27:56.802 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.a.i.FilterSecurityInterceptor    : Secure object: FilterInvocation: URL: /api/administration/all-doc-types; Attributes: [permitAll]
2019-02-20 09:27:56.802 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.a.i.FilterSecurityInterceptor    : Previously Authenticated: org.springframework.security.authentication.AnonymousAuthenticationToken@eaf7a233: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS
2019-02-20 09:27:56.803 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.access.vote.AffirmativeBased       : Voter: org.springframework.security.web.access.expression.WebExpressionVoter@3922b512, returned: 1
2019-02-20 09:27:56.803 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.a.i.FilterSecurityInterceptor    : Authorization successful
2019-02-20 09:27:56.803 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.a.i.FilterSecurityInterceptor    : RunAsManager did not change Authentication object
2019-02-20 09:27:56.804 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types reached end of additional filter chain; proceeding with original chain
2019-02-20 09:27:56.805 DEBUG 8252 --- [http-nio-8443-exec-10] c.b.a.c.rest.AdministrationController    : Retrieve all doc types
2019-02-20 09:27:56.844 DEBUG 8252 --- [http-nio-8443-exec-10] org.hibernate.SQL                        : select nmdocument0_.id as id1_97_, nmdocument0_.category as category2_97_, nmdocument0_.description as descript3_97_, nmdocument0_.need_date as need_dat4_97_, nmdocument0_.need_doc_nr as need_doc5_97_ from nm_document_types nmdocument0_
2019-02-20 09:27:56.850 DEBUG 8252 --- [http-nio-8443-exec-10] o.s.s.w.a.ExceptionTranslationFilter     : Chain processed normally
2019-02-20 09:27:56.850 DEBUG 8252 --- [http-nio-8443-exec-10] s.s.w.c.SecurityContextPersistenceFilter : SecurityContextHolder now cleared, as request processing completed
2019-02-20 09:27:56.855 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.855 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/app/**/*.{js,html}'
2019-02-20 09:27:56.855 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/api/authenticate'
2019-02-20 09:27:56.856 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 1 of 11 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2019-02-20 09:27:56.857 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 2 of 11 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
2019-02-20 09:27:56.857 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 3 of 11 in additional filter chain; firing Filter: 'HeaderWriterFilter'
2019-02-20 09:27:56.857 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.security.web.FilterChainProxy        : /api/administration/all-doc-types at position 4 of 11 in additional filter chain; firing Filter: 'LogoutFilter'
2019-02-20 09:27:56.857 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', GET]
2019-02-20 09:27:56.858 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/all-doc-types'; against '/logout'
2019-02-20 09:27:56.859 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', POST]
2019-02-20 09:27:56.859 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'POST /logout
2019-02-20 09:27:56.859 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', PUT]
2019-02-20 09:27:56.860 DEBUG 8252 --- [http-nio-8443-exec-7] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/all-doc-types' doesn't match 'PUT /logout
